module,primary_pass,depth,scope_or_gap,lexical_reference_candidates
wordcartel/src/swap.rs,1,exercised (scope-limited),"Naming, cadence, dispatch, cleanup, assessment and orphan discovery",wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/prompt.rs; wordcartel/src/prompts.rs; wordcartel/src/recents.rs; wordcartel/src/recovery.rs; wordcartel/src/save.rs; wordcartel/src/state.rs; wordcartel/src/timers.rs
wordcartel/src/term.rs,2,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel/src/test_support.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/plugin/pump.rs
wordcartel/src/theme_cmds.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/e2e.rs; wordcartel/src/mouse.rs; wordcartel/src/theme_picker.rs
wordcartel/src/theme_picker.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/overlays.rs
wordcartel/src/theme_resolve.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/settings.rs; wordcartel/src/startup.rs; wordcartel/src/theme_cmds.rs
wordcartel/src/timers.rs,2,exercised (scope-limited),Swap deadlines/ticks and save timeout only,wordcartel/src/app.rs; wordcartel/src/e2e.rs
wordcartel/src/transact.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/plugin/api.rs
wordcartel/src/transform.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/prompt.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs
wordcartel/src/ventilate.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/block_paint.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands.rs; wordcartel/src/derive.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/nav.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs
wordcartel/src/workspace.rs,1,exercised (scope-limited),Open/new/close/switch and scratch routing,wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/menu.rs; wordcartel/src/mouse.rs; wordcartel/src/palette.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render_status.rs
wordcartel-core/src/block_tree.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/derive.rs; wordcartel/src/e2e.rs; wordcartel/src/edit_apply.rs; wordcartel/src/editor.rs; wordcartel/src/fold.rs; wordcartel/src/lenses.rs; wordcartel/src/nav.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/reconcile.rs; wordcartel/src/transact.rs; wordcartel/src/transform.rs; wordcartel/src/ventilate.rs; wordcartel-core/src/outline.rs
wordcartel-core/src/buffer.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/block_paint.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/editor.rs; wordcartel/src/fold.rs; wordcartel/src/lines.rs; wordcartel/src/nav.rs; wordcartel/src/plugin/api.rs; wordcartel/src/ventilate.rs; wordcartel-core/src/change.rs; wordcartel-core/src/history.rs; wordcartel-core/src/register.rs
wordcartel-core/src/change.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/editor.rs; wordcartel/src/fold.rs; wordcartel/src/plugin/api.rs; wordcartel/src/search_ui.rs; wordcartel/src/transact.rs; wordcartel-core/src/history.rs; wordcartel-core/src/register.rs; wordcartel-core/src/selection.rs
wordcartel-core/src/count.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/commands/prose_ops.rs; wordcartel/src/render_status.rs; wordcartel/src/ventilate.rs
wordcartel-core/src/diagnostics.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/config.rs; wordcartel/src/diag_overlay.rs; wordcartel/src/diag_provider.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/harper_ls.rs; wordcartel/src/lsp_client.rs; wordcartel/src/lsp_rpc.rs; wordcartel/src/ltex_ls.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/search_ui.rs; wordcartel/src/test_support.rs
wordcartel-core/src/history.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/diag_provider.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/edit_apply.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/overlays.rs; wordcartel/src/plugin/api.rs; wordcartel/src/plugin/host.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/scratch.rs; wordcartel/src/search_ui.rs; wordcartel/src/test_support.rs; wordcartel/src/timers.rs; wordcartel/src/transact.rs; wordcartel/src/transform.rs
wordcartel-core/src/layout.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/derive.rs; wordcartel/src/editor.rs; wordcartel/src/nav.rs; wordcartel/src/render.rs; wordcartel/src/ventilate.rs
wordcartel-core/src/lib.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel-core/src/md_parse.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel-core/src/layout.rs
wordcartel-core/src/outline.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/commands.rs; wordcartel/src/derive.rs; wordcartel/src/fold.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/registry.rs
wordcartel-core/src/proptest_strategies.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel-core/src/register.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/commands.rs; wordcartel/src/editor.rs
wordcartel-core/src/search.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/render.rs; wordcartel/src/render_status.rs; wordcartel/src/search_overlay.rs; wordcartel/src/search_ui.rs
wordcartel-core/src/selection.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/lenses.rs; wordcartel/src/marks.rs; wordcartel/src/mouse.rs; wordcartel/src/nav.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/plugin/api.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/save.rs; wordcartel/src/scratch.rs; wordcartel/src/search_ui.rs; wordcartel/src/session_restore.rs; wordcartel/src/transact.rs; wordcartel-core/src/history.rs; wordcartel-core/src/register.rs
wordcartel-core/src/style.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands.rs; wordcartel/src/lenses.rs; wordcartel/src/lines.rs; wordcartel/src/nav.rs; wordcartel/src/render.rs; wordcartel/src/ventilate.rs; wordcartel-core/src/block_tree.rs; wordcartel-core/src/layout.rs; wordcartel-core/src/md_parse.rs
wordcartel-core/src/test_support.rs,0,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel-core/src/proptest_strategies.rs
wordcartel-core/src/textobj.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/commands/prose_ops.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/nav.rs; wordcartel/src/render.rs; wordcartel/src/ventilate.rs; wordcartel-core/src/count.rs; wordcartel-nlp/src/lib.rs
wordcartel-core/src/theme.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/base16.rs; wordcartel/src/block_paint.rs; wordcartel/src/compose.rs; wordcartel/src/density.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/settings.rs; wordcartel/src/splash.rs; wordcartel/src/startup.rs; wordcartel/src/theme_cmds.rs; wordcartel/src/theme_picker.rs; wordcartel/src/theme_resolve.rs; wordcartel/src/ventilate.rs
wordcartel-nlp/src/classify.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/lenses.rs
wordcartel-nlp/src/lib.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,
